text_id,text,domain,sentiment,sarcasm,version,source,language
2c50c25c-d2fa-455d-8ca9-7bc6b2aa8c45,การใช้งานไม่แย่ แต่ก็ก็ไม่ได้ดีขนาดนั้น ก็พอได้อยู่ แหละ 🙄,platform,Neutral,FALSE,noisy,synthetic_wisesight_like_hard,th
537466fe-126d-4b9a-b8d9-e0e58a2bd0bc,ราคาดีนะ แต่ว่า คุณภาพยังต้องปรับ สุดๆ สรุปคือไม่โอเค,product,Negative,FALSE,clean,synthetic_wisesight_like_hard,th
eef3517b-b685-4fb4-8d1c-1389ed8af54d,ความใส่ใจไม่โอเค ก็ได้อยู่ 🤦,service,Negative,FALSE,noisy,synthetic_wisesight_like_hard,th
d101a0f3-f0b0-495c-8a22-4bf06d58ef70,การตอบกลับโอเคนะ ทว่าการแจ้งเตือนแรงไปหน่อย เดี๋ยวค่อยดูอีกที,service,Neutral,FALSE,clean,synthetic_wisesight_like_hard,th
23e6ed23-12be-49fc-b2d4-65f3fd73a437,ดีมากกก วัสดุไม่แย่ แต่อย่างนึงก็ไม่ได้ดีขนาดนั้น สรุปคือพอใจนะ,product,Positive,TRUE,clean,synthetic_wisesight_like_hard,th
fd0f46d9-91eb-48a9-af25-8101908ed2e5,แอปดีกว่าเดิมนิดนึง แต่คือยังไม่สุด ยังตัดสินม่ายด้าย 🤔,platform,Neutral,FALSE,clean,synthetic_wisesight_like_hard,th
f6cd1072-4af3-4563-8ebd-ee06da657d06,การใช้งานดีนะ แต่อย่างนึง แอปยังต้องปรับ แทบจะ รวมๆไม่ผ่าน,platform,Negative,FALSE,clean,synthetic_wisesight_like_hard,th
63b9ae76-6392-4357-9152-0ddd9791ffd2,ดีมากกก ความใส่ใจโอเคนะ แต่อย่างนึงการใช้งานแรงไปหน่อย รวมๆคือโอเคมาก ประมาณนั้น 👍,service,Positive,TRUE,clean,synthetic_wisesight_like_hard,th
ba79bb96-2673-4d84-a0eb-e709bfd09a27,พนักงานดีนะ แต่ การดูแลยังต้องปรับ สุดๆ โดยรวมยังชอบอยู่,service,Positive,FALSE,clean,synthetic_wisesight_like_hard,th
305a14a3-45c0-4fd2-8b04-11342c4415fe,การตอบกลับโอเคนะ แต่อย่างนึงวัสดุแรงไปหน่อย ยังตัดสินไม่ได้!!!,service,Neutral,FALSE,clean,synthetic_wisesight_like_hard,th
0d37da7f-3760-4559-b051-b9ab4db70b16,สุดยอดเลยค่ะ คุณภาพยังไม่ชัดเจน,product,Neutral,TRUE,clean,synthetic_wisesight_like_hard,th
c6292466-4d4b-4a8b-b26c-306fac004b25,แพ็กของควรปรับปรุง,delivery,Negative,FALSE,clean,synthetic_wisesight_like_hard,th
e20f2469-c85f-42dd-9fbf-2e5c14c8cdf0,เก่งมากเลยนะ การตอบกลับไม่แย่ แต่อย่างนึงก็ไม่ได้ดีขนาดนั้น โดยรวมยังชอบอยู่,service,Positive,TRUE,clean,synthetic_wisesight_like_hard,th
3630be29-3a5f-41bb-9a45-0ff0af0a4e7a,ราคาดีนะ แต่ก็ ความคุ้มค่ายังต้องปรับ เกิ๊น สรุปคือไม่โอเค แม่ง 😊,product,Negative,FALSE,clean,synthetic_wisesight_like_hard,th
0cdd69ab-f0ab-47aa-9827-94a1cd46e6aa,การแจ้งเตือนโอเคนะ แต่การแจ้งเตือนแรงไปหน่อย โดยรวมยังชอบอยู่,delivery,Positive,FALSE,clean,synthetic_wisesight_like_hard,th
b4dfae0c-2601-4663-a1aa-21adc1398373,คุณภาพไม่แย่ แต่อย่างนึงก็ไม่ได้ดีขนาดนั้น สรุปคือไม่โอเค,product,Negative,FALSE,clean,synthetic_wisesight_like_hard,th
bf672cbd-3bf4-4415-b8c4-90b44de50812,แพ็กของแย่กว่าที่คิด 😤,delivery,Negative,FALSE,noisy,synthetic_wisesight_like_hard,th
